Model,Make,Orden_precio
PT,Chrysler,1
Cobalt2dr,Chevrolet,2
Escape4dr,Ford,3
Cobalt4dr,Chevrolet,4
Durango4dr,Dodge,5
Grand,Pontiac,6
New,Chevrolet,7
New,Volkswagen,8
G64dr,Pontiac,9
Yaris4dr,Toyota,10
Passat,Volkswagen,11
Xterra4dr,Nissan,12
Explorer4dr,Ford,13
Versa5dr,Nissan,14
Eclipse3dr,Mitsubishi,15
Accent4dr,Hyundai,16
Grand,Mercury,17
Vibe4dr,Pontiac,18
PriusBase,Toyota,19
E-ClassE320,Mercedes-Benz,20
Versa4dr,Nissan,21
TLAutomatic,Acura,22
Legacy,Subaru,23
Caliber4dr,Dodge,24
RAV44dr,Toyota,25
300Touring,Chrysler,26
YarisBase,Toyota,27
Sentra4dr,Nissan,28
Focus4dr,Ford,29
New,GMC,30
PathfinderSE,Nissan,31
Matrix5dr,Toyota,32
RX-84dr,Mazda,33
MustangDeluxe,Ford,34
Highlander4dr,Toyota,35
Milan4dr,Mercury,36
Impala4dr,Chevrolet,37
Grand,Suzuki,38
xD5dr,Scion,39
Frontier,Nissan,40
Malibu4dr,Chevrolet,41
Suburban4dr,Chevrolet,42
Monte,Chevrolet,43
Corolla4dr,Toyota,44
Galant4dr,Mitsubishi,45
Tahoe4dr,Chevrolet,46
Mazda34dr,Mazda,47
CX-7FWD,Mazda,48
G35,INFINITI,49
Mazda64dr,Mazda,50
Town,Lincoln,51
Yukon4dr,GMC,52
Sedona4dr,Kia,53
Focus5dr,Ford,54
Altima4dr,Nissan,55
ExplorerEddie,Ford,56
FiestaS,Ford,57
500Pop,FIAT,58
Sequoia4dr,Toyota,59
Dakota2WD,Dodge,60
Element2WD,Honda,61
CamryBase,Toyota,62
xB5dr,Scion,63
Fusion4dr,Ford,64
STS4dr,Cadillac,65
EscapeXLT,Ford,66
Lucerne4dr,Buick,67
4Runner4dr,Toyota,68
Escalade4dr,Cadillac,69
Camry4dr,Toyota,70
Prius5dr,Toyota,71
Azera4dr,Hyundai,72
FusionSEL,Ford,73
CTS4dr,Cadillac,74
RogueFWD,Nissan,75
Ranger2WD,Ford,76
FocusSEL,Ford,77
Element4WD,Honda,78
tC2dr,Scion,79
FiestaSE,Ford,80
DTS4dr,Cadillac,81
Mazda35dr,Mazda,82
Patriot4WD,Jeep,83
200Touring,Chrysler,84
Optima4dr,Kia,85
Regal4dr,Buick,86
RAV4Base,Toyota,87
Canyon2WD,GMC,88
Sonata4dr,Hyundai,89
FocusS,Ford,90
LibertySport,Jeep,91
SonicSedan,Chevrolet,92
Colorado2WD,Chevrolet,93
Compass4WD,Jeep,94
FitSport,Honda,95
LaCrosse4dr,Buick,96
CR-V2WD,Honda,97
S804dr,Volvo,98
Dakota4WD,Dodge,99
EscapeLImited,Ford,100
EscapeLimited,Ford,101
350Z2dr,Nissan,102
Forester4dr,Subaru,103
Eos2dr,Volkswagen,104
Avalon4dr,Toyota,105
Taurus4dr,Ford,106
RangerSuperCab,Ford,107
CR-V4WD,Honda,108
Sorento2WD,Kia,109
Maxima4dr,Nissan,110
RioLX,Kia,111
YarisLE,Toyota,112
Elantra4dr,Hyundai,113
RAV4Sport,Toyota,114
SonicHatch,Chevrolet,115
MDX4WD,Acura,116
VeracruzAWD,Hyundai,117
Quest4dr,Nissan,118
FocusSE,Ford,119
ForteEX,Kia,120
AccordSE,Honda,121
3004dr,Chrysler,122
Explorer,Ford,123
GTI2dr,Volkswagen,124
TL4dr,Acura,125
A34dr,Audi,126
TSXAutomatic,Acura,127
Xterra2WD,Nissan,128
VeracruzFWD,Hyundai,129
Ranger4WD,Ford,130
Liberty4WD,Jeep,131
ForteSX,Kia,132
C702dr,Volvo,133
LibertyLimited,Jeep,134
Outlander2WD,Mitsubishi,135
MKZ4dr,Lincoln,136
Forte,Kia,137
200LX,Chrysler,138
GLI4dr,Volkswagen,139
SoulBase,Kia,140
X3AWD,BMW,141
RAV44WD,Toyota,142
Sprinter,Dodge,143
Sienna5dr,Toyota,144
A44dr,Audi,145
XC704dr,Volvo,146
Touareg4dr,Volkswagen,147
Elantra,Hyundai,148
Jetta,Volkswagen,149
Camry,Toyota,150
Colorado4WD,Chevrolet,151
PriusOne,Toyota,152
C-Class4dr,Mercedes-Benz,153
TT2dr,Audi,154
ForteLX,Kia,155
CivicLX,Honda,156
HighlanderBase,Toyota,157
FusionS,Ford,158
CC4dr,Volkswagen,159
Tundra2WD,Toyota,160
Charger4dr,Dodge,161
Frontier2WD,Nissan,162
ElantraLimited,Hyundai,163
Canyon4WD,GMC,164
CruzeLT,Chevrolet,165
Wrangler2dr,Jeep,166
CivicEX,Honda,167
GTI4dr,Volkswagen,168
FocusTitanium,Ford,169
Dakota2WD,Ram,170
A64dr,Audi,171
200Limited,Chrysler,172
Forester2.5X,Subaru,173
CR-ZEX,Honda,174
TaurusSE,Ford,175
CorollaLE,Toyota,176
CorollaL,Toyota,177
ImpalaLS,Chevrolet,178
Civic,Honda,179
MalibuLS,Chevrolet,180
Xterra4WD,Nissan,181
XC90FWD,Volvo,182
Malibu1LT,Chevrolet,183
SonataSE,Hyundai,184
EscapeS,Ford,185
Passat4dr,Volkswagen,186
PatriotSport,Jeep,187
AccordEX,Honda,188
CorollaS,Toyota,189
Titan2WD,Nissan,190
AccordLX,Honda,191
Soul+,Kia,192
Lancer4dr,Mitsubishi,193
Outlander,Mitsubishi,194
Outlander4WD,Mitsubishi,195
PatriotLimited,Jeep,196
Yaris,Toyota,197
JourneyFWD,Dodge,198
OptimaLX,Kia,199
AccordLX-S,Honda,200
CamryL,Toyota,201
CruzeSedan,Chevrolet,202
Mustang2dr,Ford,203
CamryLE,Toyota,204
FusionSE,Ford,205
CompassSport,Jeep,206
Navigator4dr,Lincoln,207
Malibu,Chevrolet,208
Tiguan2WD,Volkswagen,209
Cooper,MINI,210
300Base,Chrysler,211
CivicEX-L,Honda,212
TucsonFWD,Hyundai,213
TaurusSEL,Ford,214
FX35AWD,INFINITI,215
1,BMW,216
X5AWD,BMW,217
"Excursion137""",Ford,218
MustangBase,Ford,219
Tundra4WD,Toyota,220
PatriotLatitude,Jeep,221
ImpalaLT,Chevrolet,222
CompassLatitude,Jeep,223
200S,Chrysler,224
Highlander4WD,Toyota,225
WranglerX,Jeep,226
OptimaEX,Kia,227
TiguanS,Volkswagen,228
Prius,Toyota,229
CompassLimited,Jeep,230
Accord,Honda,231
SportageLX,Kia,232
PriusTwo,Toyota,233
MX5,Mazda,234
JourneyAWD,Dodge,235
EdgeSE,Ford,236
SL-ClassSL500,Mercedes-Benz,237
Impreza2.0i,Subaru,238
CamrySE,Toyota,239
SonataLimited,Hyundai,240
EscapeFWD,Ford,241
Impreza,Subaru,242
Econoline,Ford,243
Sportage2WD,Kia,244
EquinoxFWD,Chevrolet,245
PriusFive,Toyota,246
AccordEX-L,Honda,247
EscapeSE,Ford,248
Grand,Dodge,249
TiguanSE,Volkswagen,250
Frontier4WD,Nissan,251
PriusThree,Toyota,252
FlexSE,Ford,253
Town,Chrysler,254
JourneySXT,Dodge,255
CX-9FWD,Mazda,256
RegalTurbo,Buick,257
